date,tvl_USD,SOL
8/22/2022,282791458.2,7773267.132
8/23/2022,273964307.9,7769832.896
8/24/2022,274659698.1,7818380.248
8/25/2022,276110033.4,7812960.764
8/26/2022,272731281.6,7810174.159
8/27/2022,249238014.6,7837673.414
8/28/2022,246175855.2,7837499.37
8/29/2022,237390620.5,7850218.933
8/30/2022,253002172.4,7854770.953
8/31/2022,250586029.7,7862755.873
9/1/2022,244375277.4,7782652.147
9/2/2022,236890543.7,7541882.956
9/3/2022,235708265.6,7542664.5
9/4/2022,233206596.2,7486568.097
9/5/2022,245063332.2,7603578.412
9/6/2022,249151678.2,7493283.554
9/7/2022,242839802.4,7805843.857
9/8/2022,254492388,7816105.283
9/9/2022,267958881.9,7828188.195
9/10/2022,270517532.1,7813909.071
9/11/2022,273273090.7,7814500.735
9/12/2022,270184352.6,7808796.318
9/13/2022,292070656.8,7811464.478
9/14/2022,258634487.2,7806655.214
9/15/2022,265514598.6,7836912.591
9/16/2022,259435582.8,7842671.789
9/17/2022,256901463.2,7853912.052
9/18/2022,264660576.3,7837150.617
9/19/2022,247041438,7817767.026
9/20/2022,252873724.9,7759242.864
9/21/2022,246711726.9,7768001.477
9/22/2022,240187728.9,7828804.723
9/23/2022,251629073.4,7780738.201
9/24/2022,264651058,7885907.569
9/25/2022,263727891.8,7870125.09
9/26/2022,252507074.8,7800651.059
9/27/2022,268984928.9,7858163.275
9/28/2022,257944098,7845015.145
9/29/2022,259699666.2,7841173.496
9/30/2022,266980568.2,7850060.81
10/1/2022,258991456.9,7862521.461
10/2/2022,257178633.3,7862385.611
10/3/2022,253723875.1,7891877.918
10/4/2022,259858030.7,7884042.193
10/5/2022,271412514.8,7994477.607
10/6/2022,268912970.8,7960715.535
10/7/2022,267217912.7,7960021.23
10/8/2022,263983417.2,8011636.333
10/9/2022,260506983.3,7998372.222
10/10/2022,262869892.5,7939290.019
10/11/2022,252661342.6,8010822.531
10/12/2022,249518733.2,8028273.269
10/13/2022,240105431.9,7710514.833
10/14/2022,234730735.7,7680979.57
10/15/2022,230242448.4,7669635.19
10/16/2022,218340608.1,7324408.189
10/17/2022,220483199.2,7339653.767
10/18/2022,229643579.5,7325154.05
10/19/2022,208693248.6,6954123.579
10/20/2022,218319205.2,7614900.773
10/21/2022,214999576.5,7700557.896
10/22/2022,211569472.1,7526484.246
10/23/2022,214394543,7632415.202
10/24/2022,225043729.6,7709617.322
10/25/2022,210199738.4,7419687.202
10/26/2022,239076871.2,7692306.024
10/27/2022,240842091.2,7697094.638
10/28/2022,235884274.4,7671033.313
10/29/2022,242604847.7,7607552.452
10/30/2022,252078830.5,7685330.197
10/31/2022,251189634.8,7693403.821
11/1/2022,248486460.5,7605952.266
11/2/2022,248116798.9,7698318.304
11/3/2022,237667508,7627326.956
11/4/2022,241938541.5,7759414.416
11/5/2022,268139802.2,7828899.334
11/6/2022,285889906.6,7817607.508
11/7/2022,254220772.3,7836645.261
11/8/2022,231213701.3,7798101.226
11/9/2022,178426903.8,7621824.169
11/10/2022,115793326.7,7740195.638
11/11/2022,126200065.9,7073994.725
11/12/2022,114565384.9,7045841.632
11/13/2022,102411565.1,7009689.602
11/14/2022,88546670.07,6901533.131
11/15/2022,97876621.98,6868534.876
11/16/2022,96206926.79,6765606.666
11/17/2022,96939123.03,6703950.417
11/18/2022,93108188.58,6781368.433
11/19/2022,88526315.88,6742293.67
11/20/2022,86744954.43,6771659.206
11/21/2022,82926575.42,6758482.104
11/22/2022,78026608.26,6578972.028
11/23/2022,85093512.99,6742750.633
11/24/2022,95578507.03,6745131.054
11/25/2022,96338681.68,6746406.28
11/26/2022,95638338.29,6687995.685
11/27/2022,95510567.8,6773799.135
11/28/2022,94963923.27,6749390.425
11/29/2022,90033923.3,6789888.635
11/30/2022,93736025.16,6797391.237
12/1/2022,96080700,6862907.143
12/2/2022,93764629.18,6874239.676
12/3/2022,93366999.63,6830065.811
12/4/2022,92747569.61,6875283.144
12/5/2022,95964675.84,6844841.358
12/6/2022,92081521.06,6596097.497
12/7/2022,94178305.78,6622946.961
12/8/2022,89724607.62,6641347.714
12/9/2022,90727988.44,6641873.239
12/10/2022,90430442.14,6639533.197
12/11/2022,89931154.57,6617450.667
12/12/2022,88944997.84,6632736.603
12/13/2022,87593050.76,6600832.763
12/14/2022,91745568.11,6595655.507
12/15/2022,93601520.44,6600953.486
12/16/2022,93002143.66,6595896.713
12/17/2022,81364963.14,6604298.956
12/18/2022,82144290.92,6603238.82
12/19/2022,82485163.43,6604096.352
12/20/2022,79943636.48,6606912.106
12/21/2022,81126517.89,6627983.488
12/22/2022,80982114.66,6654241.139
12/23/2022,76813512.58,6476687.401
12/24/2022,78294719.17,6657714.215
12/25/2022,75767270.73,6594192.405
12/26/2022,75148197.05,6656173.344
12/27/2022,74770806.4,6628617.589
12/28/2022,73440458.88,6652215.478
12/29/2022,65300415.79,6656515.371
12/30/2022,65954028.87,6582238.411
12/31/2022,65050796.77,6564157.091
1/1/2023,64387254.18,6438725.418
1/2/2023,64900716.71,6549012.786
1/3/2023,73587476.37,6512166.05
1/4/2023,87552448.69,6442417.122
1/5/2023,85213146.99,6431180.905
1/6/2023,87443030.43,6472467.093
1/7/2023,86607348.64,6448797.367
1/8/2023,85425013.41,6596526.132
1/9/2023,97821193.44,6582852.856
1/10/2023,108564928.1,6583682.725
1/11/2023,105673359.5,6539193.04
1/12/2023,111559444.2,6589453.292
1/13/2023,108381508.7,6588541.561
1/14/2023,127891586.5,6388191.132
1/15/2023,154086022.1,6531836.459
1/16/2023,150479622.1,6531233.597
1/17/2023,147876629.5,6387759.374
1/18/2023,145129845.3,6382139.194
1/19/2023,131525630.5,6224592.071
1/20/2023,134628624.5,6359405.974
1/21/2023,159624363.8,6357003.735
1/22/2023,158158104.1,6331389.275
1/23/2023,154186840.2,6321723.664
1/24/2023,152733085.9,6308677.65
1/25/2023,144410737.5,6306145.74
1/26/2023,156189720.4,6320911.39
1/27/2023,151182986.5,6301916.902
1/28/2023,155371362.2,6300541.856
1/29/2023,152707187.7,6268767.969
1/30/2023,165103241.3,6299246.139
1/31/2023,151071802.2,6313071.551
2/1/2023,151095499.3,6335241.061
2/2/2023,162103835.3,6337131.95
2/3/2023,154327824.6,6337898.341
2/4/2023,156043798.9,6322682.291
2/5/2023,153172983.2,6329462.115
2/6/2023,147227232.9,6222621.847
2/7/2023,143905813.1,6336671.647
2/8/2023,152184842.4,6314723.75
2/9/2023,146585057.2,6337443.024
2/10/2023,129417693.7,6353347.752
2/11/2023,129988937.4,6378259.93
2/12/2023,131959840.9,6371793.381
2/13/2023,134380707.5,6308953.403
2/14/2023,132828514.2,6367618.128
2/15/2023,137626092.6,6365684.207
2/16/2023,150644884.2,6369762.547
2/17/2023,143401164.9,6362074.751
2/18/2023,147419874.3,6321606.961
2/19/2023,148772168.8,6319973.184
2/20/2023,155096479.2,6325305.026
2/21/2023,166586087.7,6317257.782
2/22/2023,156920573.4,6322343.813
2/23/2023,153135135.6,6372664.819
2/24/2023,151874766.1,6373259.171
2/25/2023,147734692,6384385.999
2/26/2023,142376997.2,6384618.708
2/27/2023,143947914.1,6226120.853
2/28/2023,144591952.9,6389392.528
3/1/2023,137810727.6,6324494.152
3/2/2023,143344782.5,6390761.59
3/3/2023,139916121.3,6391782.607
3/4/2023,137423447.6,6400719.497
3/5/2023,135826467.1,6406908.826
3/6/2023,133765143.4,6363708.058
3/7/2023,132287943.5,6409299.588
3/8/2023,129731837.6,6384440.827
3/9/2023,119001473.8,6429036.941
3/10/2023,110120424.7,6447331.658
3/11/2023,117163430.8,6434015.969
3/12/2023,115304182.5,6423631.339
3/13/2023,130694213.5,6409721.115
3/14/2023,130452282.8,6372852.114
3/15/2023,132240304.9,6324261.354
3/16/2023,122604160.7,6359136.967
3/17/2023,124464711.4,6356726.835
3/18/2023,140761565.8,6354923.964
3/19/2023,137347570.8,6352801.61
3/20/2023,138547598.1,6311963.465
3/21/2023,142541509.7,6332363.823
3/22/2023,139297976.4,6246546.029
3/23/2023,136392830,6323265.182
3/24/2023,140403726.4,6324492.18
3/25/2023,131541370.6,6321065.38
3/26/2023,129438069.3,6317133.688
3/27/2023,131880866.6,6298035.652
3/28/2023,125661562.3,6330557.294
3/29/2023,130058427.7,6341220.267
3/30/2023,133729569.6,6334891.977
3/31/2023,129139455.5,6247675.64
4/1/2023,135142705.6,6362650.921
4/2/2023,133555260.9,6365837.03
4/3/2023,130530248.8,6361123.234
4/4/2023,130019381,6367256.658
4/5/2023,135369708.3,6367342.815
4/6/2023,132647103.3,6377264.583
4/7/2023,128178617.1,6186226.694
4/8/2023,130636476.5,6384969.525
4/9/2023,128520882.6,6387717.823
4/10/2023,130194465.6,6404056.351
4/11/2023,134059812.5,6408212.835
4/12/2023,145716761.7,6203352.988
4/13/2023,152936964.1,6399036.157
4/14/2023,155991037,6302668.163
4/15/2023,157256933.7,6416031.567
4/16/2023,155375010.6,6417802.999
4/17/2023,160424075.4,6424672.623
